name,payroll,#-of-players,$-per-player,#-of-wins,$-per-win,#-of-runs,$-per-run,difference--of-payroll--to-avg,%-change--from-avg-payroll,%-change-from-avg-#-runs,%-change-from-avg--#--wins,%-change-of-wins-/-%-change--in-payroll,theoretic-%-change-from-avg-#-wins,theoretic--#-of-wins,%-error-of-theory,theoretical-2012-based-on-%-pre-error,theoretical-2012-based-on-%-post-error,theoretical-2012-based-on-average-$-per-win-
Chicago|White-Sox-2011,"127,789,000.00",28.00,"4,563,892.86",79.00,"1,617,582.28",654.00,"195,396.02","19,442,547.57",17.94,-12.84,-4.63,-0.26,77.97,147.42,86.60,-,-,-
Chicago|White-Sox-2012,"91,750,000.00",-,-,-,-,-,-,"-16,596,452.43",-0.15,-,-0.67,-,-,-,-,82.28,60.35,67.91
Chicago|White-Sox-AVG,"108,346,452.43",27.50,"4,045,060.92",82.83,"1,351,007.69",750.33,"149,943.15",-0.00,2.17,-,-,4.34,-,-,36.35,-,-,-
Cincinnati|Reds-2006,"64,131,833.00",29.00,"2,211,442.52",80.00,"801,647.91",749.00,"85,623.28","-10,973,286.00",-14.61,1.35,1.27,-0.09,-10.22,70.93,11.34,-,-,-
Cincinnati|Reds-2007,"69,660,833.00",31.00,"2,247,123.65",72.00,"967,511.57",783.00,"88,966.58","-5,444,286.00",-7.25,5.95,-8.86,1.22,-5.07,74.99,4.16,-,-,-
Cincinnati|Reds-2008,"72,788,000.00",30.00,"2,426,266.67",74.00,"983,621.62",704.00,"103,392.05","-2,317,119.00",-3.09,-4.74,-6.33,2.05,-2.16,77.30,4.45,-,-,-
Cincinnati|Reds-2009,"76,188,500.00",28.00,"2,721,017.86",78.00,"976,775.64",673.00,"113,207.28","1,083,381.00",1.44,-8.93,-1.27,-0.88,1.01,79.80,2.30,-,-,-
Cincinnati|Reds-2010,"81,150,833.00",31.00,"2,617,768.81",91.00,"891,767.40",790.00,"102,722.57","6,045,714.00",8.05,6.90,15.19,1.89,5.63,83.45,8.30,-,-,-
Cincinnati|Reds-2011,"80,826,667.00",31.00,"2,607,311.84",79.00,"1,023,122.37",735.00,"109,968.25","5,721,548.00",7.62,-0.54,0.00,0.00,5.33,83.21,5.33,-,-,-
Cincinnati|Reds-2012,"80,989,167.00",-,-,-,-,-,-,"5,884,048.00",0.08,-,0.05,-,-,-,-,79.04,74.58,86.09
Cincinnati|Reds-AVG,"75,105,119.00",30.00,"2,471,821.89",79.00,"940,741.08",739.00,"100,646.67",0.00,-1.11,-,-,0.70,-,-,5.98,-,-,-
Cleveland|Indians-2006,"56,041,800.00",25.00,"2,241,672.00",78.00,"718,484.62",870.00,"64,415.86","-7,902,833.43",-12.36,13.26,-0.21,0.02,-7.28,72.48,7.08,-,-,-
Cleveland|Indians-2007,"61,452,100.00",31.00,"1,982,325.81",96.00,"640,126.04",811.00,"75,773.24","-2,492,533.43",-3.90,5.58,22.81,-5.85,-2.30,76.37,20.45,-,-,-
Cleveland|Indians-2008,"77,650,900.00",29.00,"2,677,617.24",81.00,"958,653.09",805.00,"96,460.75","13,706,266.57",21.43,4.79,3.62,0.17,12.63,88.04,8.69,-,-,-
Cleveland|Indians-2009,"85,472,100.00",28.00,"3,052,575.00",65.00,"1,314,955.38",773.00,"110,571.93","21,527,466.57",33.67,0.63,-16.84,-0.50,19.83,93.67,44.10,-,-,-
Cleveland|Indians-2010,"61,203,967.00",29.00,"2,110,481.62",69.00,"887,014.01",646.00,"94,742.98","-2,740,666.43",-4.29,-15.90,-11.73,2.74,-2.52,76.19,10.43,-,-,-
Cleveland|Indians-2011,"49,426,567.00",30.00,"1,647,552.23",80.00,"617,832.09",704.00,"70,208.19","-14,518,066.43",-22.70,-8.35,2.35,-0.10,-13.37,67.71,15.36,-,-,-
Cleveland|Indians-2012,"56,365,000.00",-,-,-,-,-,-,"-7,579,633.43",-0.12,-,-0.07,-,-,-,-,78.11,66.37,65.83
Cleveland|Indians-AVG,"63,944,633.43",28.67,"2,285,370.65",78.17,"856,177.54",768.17,"85,362.16",0.00,1.68,-,-,0.59,-,-,17.68,-,-,-
Colorado|Rockies-2006,"41,666,000.00",32.00,"1,302,062.50",76.00,"548,236.84",813.00,"51,249.69","-27,451,620.14",-39.72,3.15,-6.56,0.17,-22.61,62.94,17.18,-,-,-
Colorado|Rockies-2007,"57,062,000.00",34.00,"1,678,294.12",90.00,"634,022.22",860.00,"66,351.16","-12,055,620.14",-17.44,9.11,10.66,-0.61,-9.93,73.26,18.60,-,-,-
Colorado|Rockies-2008,"70,706,500.00",29.00,"2,438,155.17",74.00,"955,493.24",747.00,"94,653.95","1,588,879.86",2.30,-5.22,-9.02,-3.92,1.31,82.40,11.35,-,-,-
Colorado|Rockies-2009,"75,605,533.00",27.00,"2,800,204.93",92.00,"821,799.27",804.00,"94,036.73","6,487,912.86",9.39,2.01,13.11,1.40,5.34,85.68,6.87,-,-,-
Colorado|Rockies-2010,"84,618,333.00",31.00,"2,729,623.65",83.00,"1,019,497.99",770.00,"109,893.94","15,500,712.86",22.43,-2.30,2.05,0.09,12.77,91.72,10.50,-,-,-
Colorado|Rockies-2011,"82,311,404.00",27.00,"3,048,570.52",73.00,"1,127,553.48",735.00,"111,988.30","13,193,783.86",19.09,-6.75,-10.25,-0.54,10.87,90.17,23.52,-,-,-
